id,path,expected,split
thsl_เรียก_var_1,D:\TSL\work\thsl_crossval\clips\เรียก_var_1.mp4,เรียก_var_1,test
thsl_เรียน_var_1,D:\TSL\work\thsl_crossval\clips\เรียน_var_1.mp4,เรียน_var_1,test
thsl_เหงา_var_1,D:\TSL\work\thsl_crossval\clips\เหงา_var_1.mp4,เหงา_var_1,test
thsl_เหนื่อย_var_1,D:\TSL\work\thsl_crossval\clips\เหนื่อย_var_1.mp4,เหนื่อย_var_1,test
thsl_แต่งงาน_var_1,D:\TSL\work\thsl_crossval\clips\แต่งงาน_var_1.mp4,แต่งงาน_var_1,test
thsl_แฟน_var_1,D:\TSL\work\thsl_crossval\clips\แฟน_var_1.mp4,แฟน_var_1,test
thsl_แมว_var_1,D:\TSL\work\thsl_crossval\clips\แมว_var_1.mp4,แมว_var_1,test
thsl_แม่_var_1,D:\TSL\work\thsl_crossval\clips\แม่_var_1.mp4,แม่_var_1,test
thsl_โกรธ_var_1,D:\TSL\work\thsl_crossval\clips\โกรธ_var_1.mp4,โกรธ_var_1,test
thsl_โรงเรียน_var_1,D:\TSL\work\thsl_crossval\clips\โรงเรียน_var_1.mp4,โรงเรียน_var_1,test
thsl_โสด_var_1,D:\TSL\work\thsl_crossval\clips\โสด_var_1.mp4,โสด_var_1,test
thsl_ไข่_var_2,D:\TSL\work\thsl_crossval\clips\ไข่_var_2.mp4,ไข่_var_2,test
thsl_ไป_var_2,D:\TSL\work\thsl_crossval\clips\ไป_var_2.mp4,ไป_var_2,test
